model,architecture,batch_size,best_reconstruction_mse,classifier_accuracy_on_reconstructed,encoding_dim,epochs,final_train_accuracy,final_train_loss,final_val_accuracy,final_val_loss,hidden_dims,learning_rate,test_image_accuracy,test_loss,test_mse,test_pixel_accuracy,training_time_seconds,variance_explained,worst_reconstruction_mse
AE_Small_bs64_lr0.001,AE_Small,64,0.0007895414,96.14,32,50,89.33220074219749,0.010096299371038618,88.99677402210878,0.011347345910966396,"[256, 128]",0.001,0.0,0.011143013176502316,0.011153291910886765,89.16411683104774,239.32328295707703,,0.061166454
AE_Small_bs64_lr0.0001,AE_Small,64,0.0008277971,96.55,32,50,88.8241524823739,0.010991962345360016,88.78592155612243,0.011270871485273044,"[256, 128]",0.0001,0.0,0.010877385097822755,0.010892092250287533,89.03934583387493,238.6210277080536,,0.044762813
AE_Small_bs128_lr0.001,AE_Small,128,0.0008249716,96.43,32,50,90.00993100032574,0.008833027849343757,89.79285468342921,0.00970224928645853,"[256, 128]",0.001,0.0,0.009473319666436579,0.009494177997112274,89.99573400364895,208.84907865524292,,0.048096064
AE_Small_bs128_lr0.0001,AE_Small,128,0.0010141341,95.86,32,50,87.25902200142019,0.013808241123928035,87.3106028481872,0.013964501858510553,"[256, 128]",0.0001,0.0,0.013522411661246155,0.013547576032578945,87.57790299664167,209.8850290775299,,0.0506334
AE_Medium_bs64_lr0.001,AE_Medium,64,0.00037149646,97.68,64,50,93.3852377818357,0.0037789753742423406,92.98094175170066,0.004709372284511725,"[512, 256]",0.001,0.0,0.0046032420952751,0.0046045854687690735,93.09566631190692,264.63008522987366,,0.024763897
AE_Medium_bs64_lr0.0001,AE_Medium,64,0.00044275486,97.39,64,50,91.4529913319679,0.006585138345378754,91.38435905612246,0.00696053588638703,"[512, 256]",0.0001,0.0,0.006751973855243936,0.006759921088814735,91.58139146383076,270.0892584323883,,0.032211147
AE_Medium_bs128_lr0.001,AE_Medium,128,0.0004201605,97.51,64,50,92.8631359458677,0.004436373640452875,92.45834980019256,0.005418476071505946,"[512, 256]",0.001,0.0,0.005280674299626033,0.005289934109896421,92.57639690567682,232.12801599502563,,0.027092915
AE_Medium_bs128_lr0.0001,AE_Medium,128,0.00055585045,97.22,64,50,90.09962237887181,0.0087572577184872,90.0264685328919,0.009063104497011197,"[512, 256]",0.0001,0.0,0.008708777153699459,0.008729564025998116,90.28104616055283,231.82456493377686,,0.039206564
AE_Large_bs64_lr0.001,AE_Large,64,0.00060002843,97.11,128,50,91.42254433134265,0.006483552792997862,90.68903592687083,0.008305199013402065,"[512, 256, 128]",0.001,0.0,0.008192403381393784,0.00819767639040947,90.79987488626026,279.07626485824585,,0.04405136
AE_Large_bs64_lr0.0001,AE_Large,64,0.0007129741,96.0,128,50,88.28437930456379,0.011978770192666228,88.14711947278906,0.012736370931069056,"[512, 256, 128]",0.0001,0.0,0.012445085613756993,0.012456424534320831,88.34913842129203,279.30241870880127,,0.05519669
AE_Large_bs128_lr0.001,AE_Large,128,0.00051765144,96.94,128,50,91.27392853750543,0.0067107262228556135,90.76320500773447,0.008264795507978094,"[512, 256, 128]",0.001,0.0,0.008136545260778711,0.008152307942509651,90.90519094307028,236.03980445861816,,0.044196304
AE_Large_bs128_lr0.0001,AE_Large,128,0.001012076,95.08,128,50,85.96871989321001,0.016270438648416853,85.92730715540871,0.01680220360372295,"[512, 256, 128]",0.0001,0.0,0.01634106214476537,0.016367346048355103,86.17442551585506,234.67937111854553,,0.0657929
PCA_32,PCA,N/A,N/A,96.52,32,N/A,75.47844033446712,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.016838794574141502,75.61864795918368,0.29057908058166504,0.7438495,N/A
PCA_64,PCA,N/A,N/A,97.44,64,N/A,81.60291950113378,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.009058777242898941,81.79529336734694,0.3065478801727295,0.86220896,N/A
PCA_128,PCA,N/A,N/A,97.62,128,N/A,89.4719281462585,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00421564606949687,89.49642857142857,0.31266188621520996,0.9366518,N/A
PCA_256,PCA,N/A,N/A,97.67,256,N/A,97.3015518707483,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0013913013972342014,97.28344387755102,0.36997365951538086,0.97930956,N/A
